Source,Destination,lat1,lon1,lat2,lon2
United Arab Emirates,Philippines,23.424076,53.847818,12.879721,121.774017
Philippines,Philippines,12.879721,121.774017,12.879721,121.774017
Philippines,Philippines,12.879721,121.774017,12.879721,121.774017
Philippines,Philippines,12.879721,121.774017,12.879721,121.774017
Philippines,Philippines,12.879721,121.774017,12.879721,121.774017
Philippines,Philippines,12.879721,121.774017,12.879721,121.774017
Philippines,Philippines,12.879721,121.774017,12.879721,121.774017
Philippines,Philippines,12.879721,121.774017,12.879721,121.774017
Philippines,Philippines,12.879721,121.774017,12.879721,121.774017
Philippines,Philippines,12.879721,121.774017,12.879721,121.774017
Philippines,United Arab Emirates,12.879721,121.774017,23.424076,53.847818
Philippines,Philippines,12.879721,121.774017,12.879721,121.774017
Philippines,Philippines,12.879721,121.774017,12.879721,121.774017
Philippines,Philippines,12.879721,121.774017,12.879721,121.774017
Philippines,Philippines,12.879721,121.774017,12.879721,121.774017
Philippines,Philippines,12.879721,121.774017,12.879721,121.774017
Philippines,Philippines,12.879721,121.774017,12.879721,121.774017
Philippines,Philippines,12.879721,121.774017,12.879721,121.774017
Philippines,Philippines,12.879721,121.774017,12.879721,121.774017
Philippines,Philippines,12.879721,121.774017,12.879721,121.774017
Philippines,Philippines,12.879721,121.774017,12.879721,121.774017
Philippines,Philippines,12.879721,121.774017,12.879721,121.774017
Philippines,Philippines,12.879721,121.774017,12.879721,121.774017
Philippines,Philippines,12.879721,121.774017,12.879721,121.774017
Philippines,Philippines,12.879721,121.774017,12.879721,121.774017
Philippines,Philippines,12.879721,121.774017,12.879721,121.774017
Philippines,Philippines,12.879721,121.774017,12.879721,121.774017
Philippines,Philippines,12.879721,121.774017,12.879721,121.774017
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
Brazil,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,United States,37.09024,-95.712891,37.09024,-95.712891
Ghana,Senegal,7.946527,-1.023194,14.497401,-14.452362
Ghana,Nigeria,7.946527,-1.023194,9.081999,8.675277
Ghana,Liberia,7.946527,-1.023194,6.428055,-9.429499
Spain,Gambia,40.463667,-3.74922,13.443182,-15.310139
Gambia,Spain,13.443182,-15.310139,40.463667,-3.74922
Gambia,Senegal,13.443182,-15.310139,14.497401,-14.452362
Gambia,Sierra Leone,13.443182,-15.310139,8.460555,-11.779889
Guinea,Guinea-Bissau,9.945587,-9.696645,11.803749,-15.180413
Senegal,Ghana,14.497401,-14.452362,7.946527,-1.023194
Senegal,Gambia,14.497401,-14.452362,13.443182,-15.310139
Senegal,Cameroon,14.497401,-14.452362,7.369722,12.354722
Senegal,Sierra Leone,14.497401,-14.452362,8.460555,-11.779889
Senegal,Nigeria,14.497401,-14.452362,9.081999,8.675277
Senegal,Guinea-Bissau,14.497401,-14.452362,11.803749,-15.180413
Cameroon,Senegal,7.369722,12.354722,14.497401,-14.452362
Cameroon,Nigeria,7.369722,12.354722,9.081999,8.675277
Sierra Leone,Gambia,8.460555,-11.779889,13.443182,-15.310139
Sierra Leone,Senegal,8.460555,-11.779889,14.497401,-14.452362
Sierra Leone,United Kingdom,8.460555,-11.779889,55.378051,-3.435973
Sierra Leone,Liberia,8.460555,-11.779889,6.428055,-9.429499
United Kingdom,Sierra Leone,55.378051,-3.435973,8.460555,-11.779889
Nigeria,Ghana,9.081999,8.675277,7.946527,-1.023194
Nigeria,Senegal,9.081999,8.675277,14.497401,-14.452362
Nigeria,Cameroon,9.081999,8.675277,7.369722,12.354722
Nigeria,Liberia,9.081999,8.675277,6.428055,-9.429499
Guinea-Bissau,Guinea,11.803749,-15.180413,9.945587,-9.696645
Guinea-Bissau,Senegal,11.803749,-15.180413,14.497401,-14.452362
Liberia,Ghana,6.428055,-9.429499,7.946527,-1.023194
Liberia,Sierra Leone,6.428055,-9.429499,8.460555,-11.779889
Liberia,Nigeria,6.428055,-9.429499,9.081999,8.675277
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
